Filename,Sample Rate,Duration (s),Channels
01531-indian-music-vintagesense-1943-vish-kanyaa-11-preet-ki-jyot-jalaakar-chup-hai-surender-kedaar-sharma-khemchand-prakash-vintagesense-song-id-01531.mp3,11025,208.3,2
05862-indian-music-vintagesense-1954-biraj-bahu-02-mera-man-bhul-bhulaa-hemant-kumar-prem-dhawan-salil-choudhary-vintagesense-song-id-05862.mp3,11025,205.793,2
06182-indian-music-vintagesense-1954-lakeeren1954-duniyasejarahahoon-talat-vintagesense-song-id-06182.mp3,8000,181.512,2
05889-indian-music-vintagesense-1954-chakradhari1954-820-08boloezaminboleaasmaan-rafi-vintagesense-song-id-05889.mp3,8000,194.76,2
18174-indian-music-vintagesense-sikandar-3-savan-ke-din-vintagesense-song-id-18174.mp3,8000,109.224,2
01583-indian-music-vintagesense-1944-bhanwara-05-muskurate-huye-yun-aankh-sahgal-kedar-sharma-khemchand-prakash-vintagesense-song-id-01583.mp3,11025,204.487,2
17947-indian-music-vintagesense-reporter-raju-03-1962-rafi-asha-mujhe-dekh-na-kudiye-mud-ke-s-mohinder-vintagesense-song-id-17947.mp3,11025,309.917,2
05882-indian-music-vintagesense-1954-chakradhari1954-8-08chalrechalremereychhak-hemantkumar-vintagesense-song-id-05882.mp3,8000,64.656,2
18164-indian-music-vintagesense-shri-ram-bharat-milan-02-1965-rafi-na-roko-raam-ko-in-jaanay-walo-n-ko-shiv-ram-vintagesense-song-id-18164.mp3,11025,296.333,2
17914-indian-music-vintagesense-raqs-e-bismil-explicit-37-03-ishq-mein-tere-abida-parveen-vintagesense-song-id-17914.mp3,11025,224.758,2
11291-indian-music-vintagesense-1964-daal-me-kala-02-1964-asha-samjhe-nasamjhe-na-dil-ki-lagi-c-ramchandra-vintagesense-song-id-11291.mp3,12000,200.496,2
17907-indian-music-vintagesense-ramshastri44-baarbaarparnaam-vintagesense-song-id-17907.mp3,11025,136.882,2
17687-indian-music-vintagesense-portland2005-09-vintagesense-song-id-17687.mp3,8000,190.224,2
11283-indian-music-vintagesense-1964-chitarlekha-1964-lata-1964-chitarlekha-1964-sakhi-ri-mera-man-uljhe-vintagesense-song-id-11283.mp3,11025,191.791,2
05867-indian-music-vintagesense-1954-chaalis-baabaa-ek-chor-01-aaj-nahi-kal-baba-shamshaad-chorus-pl-santoshi-sd-burman-vintagesense-song-id-05867.mp3,11025,176.118,2
17987-indian-music-vintagesense-saas-bhi-kabhi-bahu-thi-07-1970-manna-dey-chorus-suno-re-sadhu-yeh-sansaram-rd-burman-vintagesense-song-id-17987.mp3,11025,180.402,2
05878-indian-music-vintagesense-1954-chakradhari1954-4-04areyomerisaaskeladke-asharafi-vintagesense-song-id-05878.mp3,8000,91.944,2
18114-indian-music-vintagesense-shama46ver-n26774-01-gorichalipiyake-vintagesense-song-id-18114.mp3,11025,174.498,2
17646-indian-music-vintagesense-pittsburgh-manzoor-1949-asitbaran-matwalenainonse-pm-vintagesense-song-id-17646.mp3,11025,168.803,2
17908-indian-music-vintagesense-ramshastri44-kaisekheloonmainkhelnahinbhaye-vintagesense-song-id-17908.mp3,11025,271.517,2
12565-indian-music-vintagesense-1967-harekaanchkichudiyan1967-sharda-1967harekaanchkichudiyan196707kahanchalare-vintagesense-song-id-12565.mp3,11025,245.029,2
18145-indian-music-vintagesense-shree-ganesh-04-1962-suman-kalyanpur-chorus-brindaban-sa-van-dekho-raas-rachaiya-bulo-c-rani-vintagesense-song-id-18145.mp3,11025,230.034,2
18616-indian-music-vintagesense-yahudi-01-1958-rafi-yeh-duniya-haaye-hamari-yeh-duniya-shankar-jaikishan-vintagesense-song-id-18616.mp3,11025,246.126,2
17919-indian-music-vintagesense-rare-moods-16-01-tere-andaz-e-mastana-mehdi-hassan-vintagesense-song-id-17919.mp3,11025,78.838,2
17643-indian-music-vintagesense-pittsburgh-lahore-1949-lata-tutehuearman-shyamsunder-vintagesense-song-id-17643.mp3,11025,226.168,2
17675-indian-music-vintagesense-poonji1943024601-gaadiwaledupattauda-vintagesense-song-id-17675.mp3,11025,207.412,2
17842-indian-music-vintagesense-qanoon-1943-nirmala-sayyankhademoredwar-naushad-0002-b1-vintagesense-song-id-17842.mp3,11025,152.921,2
01547-indian-music-vintagesense-1943sanjog-06-kistarafkodhyanhaitera-vintagesense-song-id-01547.mp3,11025,186.096,2
01579-indian-music-vintagesense-1944-bhanwara-01-teri-pee-pee-ki-pukaron-ne-ameerbai-p-inder-khemchand-prakash-vintagesense-song-id-01579.mp3,11025,176.013,2
06125-indian-music-vintagesense-1954-jagriti-05-chalo-chalen-maa-asha-pradeep-hemant-kumar-vintagesense-song-id-06125.mp3,11025,80.353,2
17683-indian-music-vintagesense-portland2005-05-vintagesense-song-id-17683.mp3,8000,215.28,2
11230-indian-music-vintagesense-1964-awarabadal1964-asha-ekhaidilpyarbhara-ushakhanna-vintagesense-song-id-11230.mp3,12000,288.624,2
06185-indian-music-vintagesense-1954-lakeeren-01-dil-ki-dhadakan-pe-gaa-talat-sevan-rizavi-hafiz-khan-vintagesense-song-id-06185.mp3,11025,183.014,2
17974-indian-music-vintagesense-rr43-12-tyaagmaii-tuu-vintagesense-song-id-17974.mp3,8000,157.392,2
06171-indian-music-vintagesense-1954-laal-pari-03-o-dilwalon-2-dil-ko-sambhalo-asha-s-balbir-chorus-asad-bhopali-hansraj-bahal-vintagesense-song-id-06171.mp3,11025,195.239,2
05851-indian-music-vintagesense-1954-bilwa-mangal-09-jaake-nain-pyare-pyare-hai-suraiya-chorus-dn-madhok-bulo-c-rani-vintagesense-song-id-05851.mp3,11025,184.947,2
11300-indian-music-vintagesense-1964-darasingh1964-asha-chho-dochho-domoribaiyaa-n-hansrajbehal-vintagesense-song-id-11300.mp3,12000,191.568,2
12561-indian-music-vintagesense-1967-harekaanchkichudiyan1967-rafi-1967harekaanchkichudiyan196702aejaanemanlegayadilko-vintagesense-song-id-12561.mp3,11025,346.018,2
17973-indian-music-vintagesense-rr43-11-bhaarat-kii-vintagesense-song-id-17973.mp3,8000,296.136,2
01553-indian-music-vintagesense-1943st03shakuntala-02-ekpremkipyasi-banibanvasi-vintagesense-song-id-01553.mp3,11025,165.669,2
05809-indian-music-vintagesense-1954-baraati-03-naach-le-bawariya-asha-balbeer-chorus-dn-madhok-roshan-vintagesense-song-id-05809.mp3,11025,182.439,2
17629-indian-music-vintagesense-pittsburgh-banphool-kanandevi-dinviptake-dhirenmitra-vintagesense-song-id-17629.mp3,11025,196.598,2
18644-indian-music-vintagesense-zeenat-00-title-vintagesense-song-id-18644.mp3,8000,102.888,2
01532-indian-music-vintagesense-1943-vishha-kanyaa-6-x-madhukara-naina-chhichhore-kidaara-sharmaa-khemachandra-prakaasha-vintagesense-song-id-01532.mp3,11025,180.611,2
17650-indian-music-vintagesense-pittsburgh-meribehan-1944-punkajmullik-aykatb-etaqdeer-pm-vintagesense-song-id-17650.mp3,11025,212.062,2
06122-indian-music-vintagesense-1954-jagriti-02-de-di-hamein-azadi-asha-chorus-pradeep-hemant-kumar-vintagesense-song-id-06122.mp3,11025,297.117,2
17810-indian-music-vintagesense-pyar-ki-dastan-03-1961-rafi-geeta-dutt-kaha-n-chali-rey-kaha-n-chali-nashad-vintagesense-song-id-17810.mp3,11025,160.34,2
18183-indian-music-vintagesense-singaar-03a-ai-2-suhag-ki-vintagesense-song-id-18183.mp3,8000,35.064,2
01522-indian-music-vintagesense-1943-taansen-10-binaa-pankh-kaa-panchhi-hun-mai-sahgal-dn-madhok-khemchand-prakash-vintagesense-song-id-01522.mp3,11025,176.64,2
18621-indian-music-vintagesense-yahudi-06-1958-lata-aatey-jaatey-pehlu-mei-n-aaya-koyi-shankar-jaikishan-vintagesense-song-id-18621.mp3,11025,235.99,2
11240-indian-music-vintagesense-1964-ayee-milan-ki-bela-1964-rafi-1964-ayee-milan-ki-bela-1964-04-mein-pyar-ka-deewana-vintagesense-song-id-11240.mp3,11025,204.748,2
12563-indian-music-vintagesense-1967-harekaanchkichudiyan1967-sharda-1967harekaanchkichudiyan196704lejaadilhaitera-vintagesense-song-id-12563.mp3,11025,264.255,2
11244-indian-music-vintagesense-1964-benazir-1964-lata-rafi-1964-benazir-1964-08-ae-mere-dilruba-vintagesense-song-id-11244.mp3,11025,223.922,2
01509-indian-music-vintagesense-1943-shrii-raamaanuja-7-purushha-huaa-saveraa-muurakha-pt-narottama-vyaasa-anupama-ghataka-vintagesense-song-id-01509.mp3,11025,190.067,2
06191-indian-music-vintagesense-1954-lakeeren-07-mohabbat-ki-duniya-mein-talat-geeta-sevan-rizavi-hafiz-khan-vintagesense-song-id-06191.mp3,11025,208.562,2
06195-indian-music-vintagesense-1954-latamangeshkarraresongsfromfifties-sajansepehlibaar-rishta-lata-vintagesense-song-id-06195.mp3,8000,170.28,2
17998-indian-music-vintagesense-sakhi-robin-03-1962-suman-kalyanpur-chorus-dekho-re-aaya-mausam-suhaana-robin-bannerjee1-vintagesense-song-id-17998.mp3,11025,201.718,2
18150-indian-music-vintagesense-shree-ganesh-09-1962-suman-kalyanpur-shloka-bulo-c-rani-vintagesense-song-id-18150.mp3,11025,64.679,2
18628-indian-music-vintagesense-ysmoolky-piano02-vintagesense-song-id-18628.mp3,44100,207.412,2
06167-indian-music-vintagesense-1954-laadlaa-05-hazaaron-chhal-bura-hua-jo-unse-hamare-asha-shamshad-talat-rafi-raaja-mehandi-vinod-vintagesense-song-id-06167.mp3,11025,199.367,2
18179-indian-music-vintagesense-sikandar-8-zindagi-hai-pyar-vintagesense-song-id-18179.mp3,8000,133.92,2
17845-indian-music-vintagesense-qanoon-1943-suraiya-shyam-ekdintera-naushad-0002-b-vintagesense-song-id-17845.mp3,11025,176.536,2
17802-indian-music-vintagesense-pyar-ki-bazi-01-1967-rafi-suman-kalyanpur-pyar-kiya-hai-to-yeh-pyar-nibhana-jimmi-vintagesense-song-id-17802.mp3,11025,307.409,2
06115-indian-music-vintagesense-1954-jagriti1954-1520-15humlaayehaintoofanse-rafi-vintagesense-song-id-06115.mp3,8000,293.76,2
17613-indian-music-vintagesense-pittsburgh-arabiannights-1946-kanandevi-kalikisiki-kdg-vintagesense-song-id-17613.mp3,11025,217.078,2
12532-indian-music-vintagesense-1967-diwana1967-mukesh-1967diwana1967diwanamujhkologkahen-vintagesense-song-id-12532.mp3,11025,256.679,2
17911-indian-music-vintagesense-ramshastri44-tumjaopardilmeinrahoge-vintagesense-song-id-17911.mp3,11025,115.513,2
18121-indian-music-vintagesense-sharda42-baliharirekockdookoobol-vintagesense-song-id-18121.mp3,11025,159.451,2
12543-indian-music-vintagesense-1967-farz1967-rafichorus-1967farz196709happybirthdaytoyou-vintagesense-song-id-12543.mp3,11025,424.124,2
11281-indian-music-vintagesense-1964-chitarlekha-1964-asha-usha-mangeshkar-1964-chitarlekha-1964-kahe-tarsaye-jiyara-vintagesense-song-id-11281.mp3,11025,208.3,2
05849-indian-music-vintagesense-1954-bilwa-mangal-07-parwane-se-preet-seekh-li-suraiya-dn-madhok-bulo-c-raani-vintagesense-song-id-05849.mp3,11025,193.411,2
17828-indian-music-vintagesense-pyar-kiya-to-darna-kya-05-1963-rafi-jaan-e-bahar-husn-tera-bemisaal-hai-ravi1-vintagesense-song-id-17828.mp3,11025,90.749,2
12560-indian-music-vintagesense-1967-harekaanchkichudiyan1967-rafiasha-1967harekaanchkichudiyan196703panchhireopanchhiudja-vintagesense-song-id-12560.mp3,11025,276.01,2
